"NYSVoter Enrollment by Election District, Party Affiliation and Status",,,,,,,,,,,,,
"Voters Registered as of November 1, 2018",,,,,,,,,,,,,
New York  County,,,,,,,,,,,,,
,,,,,,,,,,,,,
COUNTY,ELECTION DIST,STATUS,DEM,REP,CON,GRE,WOR,IND,WEP,REF,OTH,BLANK,TOTAL
,,,,,,,,,,,,,
New York ,New York 65001,Active,450,149,2,2,0,18,1,0,3,254,879
New York ,New York 65001,Inactive,101,48,0,0,0,6,0,0,3,58,216
New York ,New York 65001,Total,551,197,2,2,0,24,1,0,6,312,"1,095"
,,,,,,,,,,,,,
New York ,New York 65002,Active,547,197,3,1,2,46,1,0,3,302,"1,102"
New York ,New York 65002,Inactive,122,72,0,0,0,21,0,0,0,78,293
New York ,New York 65002,Total,669,269,3,1,2,67,1,0,3,380,"1,395"
,,,,,,,,,,,,,
New York ,New York 65003,Active,515,177,0,0,0,32,0,0,2,299,"1,025"
New York ,New York 65003,Inactive,89,49,0,0,0,5,0,0,1,42,186
New York ,New York 65003,Total,604,226,0,0,0,37,0,0,3,341,"1,211"
,,,,,,,,,,,,,
New York ,New York 65004,Active,490,204,2,2,0,45,0,0,1,289,"1,033"
New York ,New York 65004,Inactive,146,65,2,0,0,8,0,0,0,99,320
New York ,New York 65004,Total,636,269,4,2,0,53,0,0,1,388,"1,353"
,,,,,,,,,,,,,
New York ,New York 65005,Active,377,72,0,1,0,11,1,0,1,164,627
New York ,New York 65005,Inactive,92,25,0,1,1,10,0,0,0,61,190
New York ,New York 65005,Total,469,97,0,2,1,21,1,0,1,225,817
,,,,,,,,,,,,,
New York ,New York 65006,Active,548,126,4,3,0,43,0,0,2,208,934
New York ,New York 65006,Inactive,81,31,2,2,0,4,0,0,1,35,156
New York ,New York 65006,Total,629,157,6,5,0,47,0,0,3,243,"1,090"
,,,,,,,,,,,,,
New York ,New York 65007,Active,485,113,3,1,0,19,0,0,0,152,773
New York ,New York 65007,Inactive,26,14,1,1,0,2,0,0,0,8,52
New York ,New York 65007,Total,511,127,4,2,0,21,0,0,0,160,825
,,,,,,,,,,,,,
New York ,New York 65008,Active,642,154,1,2,3,23,0,1,0,199,"1,025"
New York ,New York 65008,Inactive,74,26,0,0,0,4,0,0,0,25,129
New York ,New York 65008,Total,716,180,1,2,3,27,0,1,0,224,"1,154"
,,,,,,,,,,,,,
New York ,New York 65009,Active,594,130,1,8,0,45,0,0,2,270,"1,050"
New York ,New York 65009,Inactive,80,20,0,0,0,8,0,0,1,33,142
New York ,New York 65009,Total,674,150,1,8,0,53,0,0,3,303,"1,192"
,,,,,,,,,,,,,
New York ,New York 65010,Active,635,112,2,7,0,31,2,0,0,266,"1,055"
New York ,New York 65010,Inactive,105,32,1,0,0,7,0,0,0,37,182
New York ,New York 65010,Total,740,144,3,7,0,38,2,0,0,303,"1,237"
,,,,,,,,,,,,,
New York ,New York 65011,Active,416,141,5,0,2,33,1,0,3,206,807
New York ,New York 65011,Inactive,115,52,1,0,0,16,0,0,0,76,260
New York ,New York 65011,Total,531,193,6,0,2,49,1,0,3,282,"1,067"
,,,,,,,,,,,,,
New York ,New York 65012,Active,336,171,1,2,1,32,0,0,1,229,773
New York ,New York 65012,Inactive,42,30,0,0,0,14,0,0,0,42,128
New York ,New York 65012,Total,378,201,1,2,1,46,0,0,1,271,901
,,,,,,,,,,,,,
New York ,New York 65013,Active,422,144,1,1,2,35,1,0,1,196,803
New York ,New York 65013,Inactive,73,27,0,0,0,8,0,0,1,34,143
New York ,New York 65013,Total,495,171,1,1,2,43,1,0,2,230,946
,,,,,,,,,,,,,
New York ,New York 65014,Active,458,170,2,1,1,25,0,1,1,281,940
New York ,New York 65014,Inactive,69,47,0,0,0,14,0,0,0,65,195
New York ,New York 65014,Total,527,217,2,1,1,39,0,1,1,346,"1,135"
,,,,,,,,,,,,,
New York ,New York 65015,Active,460,126,0,2,0,37,0,1,0,257,883
New York ,New York 65015,Inactive,79,35,0,0,0,6,0,0,0,42,162
New York ,New York 65015,Total,539,161,0,2,0,43,0,1,0,299,"1,045"
,,,,,,,,,,,,,
New York ,New York 65016,Active,626,192,6,3,1,51,2,1,2,274,"1,158"
New York ,New York 65016,Inactive,150,67,0,0,0,15,0,0,1,86,319
New York ,New York 65016,Total,776,259,6,3,1,66,2,1,3,360,"1,477"
,,,,,,,,,,,,,
New York ,New York 65017,Active,16,1,0,0,1,0,0,0,0,6,24
New York ,New York 65017,Inactive,4,0,0,0,0,0,0,0,0,0,4
New York ,New York 65017,Total,20,1,0,0,1,0,0,0,0,6,28
,,,,,,,,,,,,,
New York ,New York 65018,Active,608,44,2,2,2,20,1,0,0,146,825
New York ,New York 65018,Inactive,69,7,0,0,0,2,0,0,0,15,93
New York ,New York 65018,Total,677,51,2,2,2,22,1,0,0,161,918
,,,,,,,,,,,,,
New York ,New York 65019,Active,674,41,2,4,6,9,1,1,0,167,905
New York ,New York 65019,Inactive,99,13,0,0,2,1,0,0,0,18,133
New York ,New York 65019,Total,773,54,2,4,8,10,1,1,0,185,"1,038"
,,,,,,,,,,,,,
New York ,New York 65020,Active,664,40,2,0,0,20,0,0,1,136,863
New York ,New York 65020,Inactive,58,8,0,1,0,1,0,0,0,14,82
New York ,New York 65020,Total,722,48,2,1,0,21,0,0,1,150,945
,,,,,,,,,,,,,
New York ,New York 65021,Active,722,78,1,0,2,14,0,0,0,241,"1,058"
New York ,New York 65021,Inactive,71,9,0,1,0,4,0,0,0,33,118
New York ,New York 65021,Total,793,87,1,1,2,18,0,0,0,274,"1,176"
,,,,,,,,,,,,,
New York ,New York 65022,Active,645,128,6,1,1,21,0,0,0,287,"1,089"
New York ,New York 65022,Inactive,55,15,0,0,0,0,0,0,0,30,100
New York ,New York 65022,Total,700,143,6,1,1,21,0,0,0,317,"1,189"
,,,,,,,,,,,,,
New York ,New York 65023,Active,485,77,0,0,2,21,0,0,0,242,827
New York ,New York 65023,Inactive,40,4,0,0,0,0,0,0,0,23,67
New York ,New York 65023,Total,525,81,0,0,2,21,0,0,0,265,894
,,,,,,,,,,,,,
